contrast,metric,mean_diff,ci_low,ci_high,n
R2-R2_random,investment_alignment,0.25490492732554715,0.24648908282373647,0.2633207718273578,20
R2-R2_random,total_gap_reduction,0.002042174575259943,0.001600982961481905,0.002483366189037981,20
R2-R2_random,evidence_conversion,0.0,,,20
R2-R2_random,placement_rate,0.000833333333333322,-0.011939971157678619,0.013606637824345262,20
R2-R2_random,ground_truth_fit,-0.0003798975623796719,-0.005386161177181551,0.004626366052422207,20
R2_random-R1,investment_alignment,0.01583167060878541,0.008391315243949976,0.023272025973620845,20
R2_random-R1,total_gap_reduction,0.005624116955836408,0.005287146223665853,0.0059610876880069625,20
R2_random-R1,evidence_conversion,0.0,,,20
R2_random-R1,placement_rate,0.0008333333333333442,-0.009516401711743337,0.011183068378410025,20
R2_random-R1,ground_truth_fit,0.0042481017229684505,-0.0015433743388233575,0.010039577784760258,20
R3-R3_random,investment_alignment,0.24281258270002365,0.2336893882811181,0.25193577711892917,20
R3-R3_random,total_gap_reduction,0.0031702278076798603,0.0023800150749034034,0.003960440540456318,20
R3-R3_random,evidence_conversion,0.023207972459882827,0.01594911758160551,0.030466827338160144,20
R3-R3_random,placement_rate,0.005833333333333307,-0.0019771635040749516,0.013643830170741566,20
R3-R3_random,ground_truth_fit,-0.0014341238714113192,-0.006346616497993363,0.003478368755170724,20
R3_random-R2,investment_alignment,-0.2509609877159942,-0.26016672266538493,-0.24175525276660342,20
R3_random-R2,total_gap_reduction,0.0015398949368494344,0.0007674874187998651,0.0023123024548990035,20
R3_random-R2,evidence_conversion,0.05335807480872369,0.046329878826877134,0.06038627079057025,20
R3_random-R2,placement_rate,-0.0024999999999999883,-0.014904460110812853,0.009904460110812877,20
R3_random-R2,ground_truth_fit,0.002230892293894593,-0.0030225272650953416,0.007484311852884527,20
