seed,regime,round,placement,mean_gap,open_capacity
1000,R0,1,0.2166666666666666,0.4901381754197755,34
1000,R0,2,0.3916666666666666,0.4895580862788528,13
1000,R0,3,0.425,0.4890597084095951,9
1000,R0,4,0.4666666666666667,0.4886891241811618,4
1000,R0,5,0.4666666666666667,0.488211314552445,4
1000,R0,6,0.4666666666666667,0.4878061084446963,4
1000,R1,1,0.2,0.4901040241582865,36
1000,R1,2,0.3583333333333333,0.4893772236171392,17
1000,R1,3,0.4083333333333333,0.4888641568211235,11
1000,R1,4,0.4416666666666666,0.488656332325576,7
1000,R1,5,0.4416666666666666,0.488271263550301,7
1000,R1,6,0.4583333333333333,0.4877225389685483,5
1000,R2,1,0.1916666666666666,0.4965558072108368,37
1000,R2,2,0.3416666666666667,0.4924298459137903,19
1000,R2,3,0.3666666666666666,0.4919715700297053,16
1000,R2,4,0.4083333333333333,0.4900181372891022,11
1000,R2,5,0.425,0.4894404219982408,9
1000,R2,6,0.45,0.4893876125535396,6
1000,R3,1,0.175,0.4875861032172635,39
1000,R3,2,0.3083333333333333,0.4911633031373705,23
1000,R3,3,0.3666666666666666,0.4926628949633963,16
1000,R3,4,0.3833333333333333,0.4876501242905565,14
1000,R3,5,0.4166666666666667,0.4864289091396499,10
1000,R3,6,0.4333333333333333,0.4830806692235779,8
1001,R0,1,0.2083333333333333,0.5246670826848117,35
1001,R0,2,0.3416666666666667,0.5244054760147854,19
1001,R0,3,0.4,0.5238832053236074,12
1001,R0,4,0.4416666666666666,0.5233323192421243,7
1001,R0,5,0.4666666666666667,0.5229962790428855,4
1001,R0,6,0.4666666666666667,0.5226457687910869,4
1001,R1,1,0.175,0.5247313328037851,39
1001,R1,2,0.325,0.5242128731441879,21
1001,R1,3,0.3583333333333333,0.523801916160657,17
1001,R1,4,0.3833333333333333,0.523455036815261,14
1001,R1,5,0.4083333333333333,0.523178037103707,11
1001,R1,6,0.425,0.5225190605458835,9
1001,R2,1,0.1333333333333333,0.5204852123134666,44
1001,R2,2,0.2833333333333333,0.5175391456644981,26
1001,R2,3,0.3583333333333333,0.519153126634723,17
1001,R2,4,0.375,0.5215321176803854,15
1001,R2,5,0.4,0.5228711923786131,12
1001,R2,6,0.4083333333333333,0.521362516199032,11
1001,R3,1,0.1833333333333333,0.5202321730876427,38
1001,R3,2,0.275,0.5184801721316432,27
1001,R3,3,0.325,0.5237556247110146,21
1001,R3,4,0.3416666666666667,0.5222275262062173,19
1001,R3,5,0.3666666666666666,0.5129688955347016,16
1001,R3,6,0.3916666666666666,0.5090849338238115,13
1002,R0,1,0.1833333333333333,0.5016771745460236,38
1002,R0,2,0.3166666666666666,0.5007085646529617,22
1002,R0,3,0.4,0.5000312958903298,12
1002,R0,4,0.425,0.4994815320840977,9
1002,R0,5,0.425,0.4991215151127315,9
1002,R0,6,0.45,0.4986041998187561,6
1002,R1,1,0.1666666666666666,0.5019321199867427,40
1002,R1,2,0.2833333333333333,0.501381450992434,26
1002,R1,3,0.3333333333333333,0.5007125139204136,20
1002,R1,4,0.35,0.5000756814545564,18
1002,R1,5,0.375,0.4996149432740437,15
1002,R1,6,0.4166666666666667,0.4991985641455675,10
1002,R2,1,0.1416666666666666,0.5026242576287335,43
1002,R2,2,0.275,0.5014843493891464,27
1002,R2,3,0.3333333333333333,0.5003671377999307,20
1002,R2,4,0.375,0.5021420522053346,15
1002,R2,5,0.3916666666666666,0.5007774693746493,13
1002,R2,6,0.4,0.5049126481100986,12
1002,R3,1,0.1333333333333333,0.4986174067037739,44
1002,R3,2,0.2833333333333333,0.5028504208476509,26
1002,R3,3,0.3333333333333333,0.5025623473021843,20
1002,R3,4,0.3666666666666666,0.5020744266061885,16
1002,R3,5,0.375,0.4977945165363483,15
1002,R3,6,0.3916666666666666,0.4941125835764757,13
1003,R0,1,0.2166666666666666,0.5082884896253936,34
1003,R0,2,0.3416666666666667,0.5072091828341495,19
1003,R0,3,0.4083333333333333,0.5068364625493301,11
1003,R0,4,0.425,0.5064734529544023,9
1003,R0,5,0.4583333333333333,0.5061160369907552,5
1003,R0,6,0.475,0.505685138128833,3
1003,R1,1,0.1666666666666666,0.5081174361284404,40
1003,R1,2,0.2916666666666667,0.5075791200864279,25
1003,R1,3,0.3583333333333333,0.50704137362386,17
1003,R1,4,0.3583333333333333,0.5063474089744727,17
1003,R1,5,0.3666666666666666,0.505683673288965,16
1003,R1,6,0.375,0.5049507700342593,15
1003,R2,1,0.1916666666666666,0.5106850203360958,37
1003,R2,2,0.3166666666666666,0.5093975649247657,22
1003,R2,3,0.3833333333333333,0.5078892195309298,14
1003,R2,4,0.4166666666666667,0.5120419164678501,10
1003,R2,5,0.4416666666666666,0.5118662687657763,7
1003,R2,6,0.4416666666666666,0.5099529821725112,7
1003,R3,1,0.1666666666666666,0.5072538735229303,40
1003,R3,2,0.3,0.5048534152248847,24
1003,R3,3,0.3333333333333333,0.5001398601165687,20
1003,R3,4,0.3833333333333333,0.4999634023692867,14
1003,R3,5,0.4083333333333333,0.4989463842796818,11
1003,R3,6,0.4333333333333333,0.5007717793822316,8
1004,R0,1,0.2,0.5135162852127931,36
1004,R0,2,0.325,0.512999496072796,21
1004,R0,3,0.4333333333333333,0.5127116462690305,8
1004,R0,4,0.4416666666666666,0.5123195998338338,7
1004,R0,5,0.45,0.5117530464218739,6
1004,R0,6,0.4583333333333333,0.5111804673099904,5
1004,R1,1,0.1583333333333333,0.5134213279570228,41
1004,R1,2,0.275,0.5129064492307153,27
1004,R1,3,0.3416666666666667,0.5122163202587618,19
1004,R1,4,0.3833333333333333,0.5115800391521569,14
1004,R1,5,0.4,0.5109744080902419,12
1004,R1,6,0.4083333333333333,0.5104818712476599,11
1004,R2,1,0.1916666666666666,0.5111411787730246,37
1004,R2,2,0.2916666666666667,0.5136939815038591,25
1004,R2,3,0.325,0.5160935837963081,21
1004,R2,4,0.3583333333333333,0.5129344169423793,17
1004,R2,5,0.4,0.5080178630497609,12
1004,R2,6,0.4333333333333333,0.5054291014325207,8
1004,R3,1,0.1416666666666666,0.5100420656071061,43
1004,R3,2,0.3,0.5104710721929945,24
1004,R3,3,0.35,0.5060537669794452,18
1004,R3,4,0.4,0.5032384440489082,12
1004,R3,5,0.4166666666666667,0.5002101233573432,10
1004,R3,6,0.4333333333333333,0.5021384806136034,8
1005,R0,1,0.225,0.5063140747964713,33
1005,R0,2,0.4166666666666667,0.505758737038463,10
1005,R0,3,0.4666666666666667,0.505453940985661,4
1005,R0,4,0.475,0.505103547690009,3
1005,R0,5,0.5,0.5047607160172835,0
1005,R0,6,0.5,0.5044994619762082,0
1005,R1,1,0.1916666666666666,0.5061253318919433,37
1005,R1,2,0.3166666666666666,0.5056081997502774,22
1005,R1,3,0.3666666666666666,0.5051922490961778,16
1005,R1,4,0.3916666666666666,0.5048109652148994,13
1005,R1,5,0.4,0.5041958232385387,12
1005,R1,6,0.4166666666666667,0.5036577213377441,10
1005,R2,1,0.1833333333333333,0.5087881259571481,38
1005,R2,2,0.3083333333333333,0.5052161794284236,23
1005,R2,3,0.3833333333333333,0.5021152217693319,14
1005,R2,4,0.4083333333333333,0.5053143169151125,11
1005,R2,5,0.425,0.5031972552497523,9
1005,R2,6,0.4333333333333333,0.5057751716598295,8
1005,R3,1,0.1833333333333333,0.5054887334168502,38
1005,R3,2,0.3,0.5063438135058663,24
1005,R3,3,0.3666666666666666,0.5036424403109435,16
1005,R3,4,0.4,0.4992023326268868,12
1005,R3,5,0.4333333333333333,0.4998927402757266,8
1005,R3,6,0.4583333333333333,0.4997994694648591,5
1006,R0,1,0.2083333333333333,0.5091869558848504,35
1006,R0,2,0.3166666666666666,0.5086271965720977,22
1006,R0,3,0.3833333333333333,0.5081890437968256,14
1006,R0,4,0.4083333333333333,0.50788316930177,11
1006,R0,5,0.4416666666666666,0.5076324072114946,7
1006,R0,6,0.45,0.5069814914242986,6
1006,R1,1,0.1833333333333333,0.5093876706964092,38
1006,R1,2,0.2916666666666667,0.5087453165397053,25
1006,R1,3,0.375,0.5082953275132333,15
1006,R1,4,0.4083333333333333,0.5078939609572174,11
1006,R1,5,0.4083333333333333,0.5072131967803326,11
1006,R1,6,0.4333333333333333,0.5069281408995434,8
1006,R2,1,0.15,0.5070352795929404,42
1006,R2,2,0.2833333333333333,0.511161420076483,26
1006,R2,3,0.325,0.5093809570582586,21
1006,R2,4,0.3416666666666667,0.5157809167475762,19
1006,R2,5,0.375,0.5167527412605838,15
1006,R2,6,0.3833333333333333,0.5156942386787353,14
1006,R3,1,0.15,0.5065533514438663,42
1006,R3,2,0.2666666666666666,0.5087277475564982,28
1006,R3,3,0.3416666666666667,0.5116753818096481,19
1006,R3,4,0.3916666666666666,0.510060677165797,13
1006,R3,5,0.4166666666666667,0.5067652531720275,10
1006,R3,6,0.425,0.5046601289299752,9
1007,R0,1,0.1916666666666666,0.5148485138002743,37
