regime,metric,n,mean,sd,ci_low,ci_high
R0,placement_rate,40,0.46729166666666666,0.015832489856075528,0.46222819076181,0.47235514257152333
R0,ground_truth_fit,40,0.5743370451978261,0.025936643905769507,0.5660421040569471,0.5826319863387052
R0,search_rounds,40,1.9667428238558435,0.12415485515133635,1.9270361748546745,2.0064494728570126
R0,applications_per_hire,40,5.8989499794576545,0.37137353043899507,5.780178962379895,6.017720996535414
R0,fill_rate,40,0.9345833333333333,0.031664979712151084,0.92445638152362,0.9447102851430467
R0,vacancy_duration,40,2.2133333333333334,0.2983143526407219,2.117927774864615,2.3087388918020517
R0,credential_sensitivity,40,0.19097870353120588,0.019378045906784852,0.1847813037902827,0.19717610327212906
R0,investment_alignment,40,0.08003430940740672,0.01297865570256161,0.07588353394348732,0.08418508487132612
R0,total_gap_reduction,40,0.003099895528104195,0.00037774590650354456,0.002979086526290437,0.003220704529917953
R0,evidence_conversion,40,0.0,0.0,,
R0,task_acceptance,40,0.0,0.0,,
R0,realized_gain,40,0.010521247638906628,0.0004643034614732871,0.010372756188030418,0.010669739089782838
R0,evidence_opportunity_gap,40,0.18166666666666662,0.10182102615629723,0.14910272269847602,0.2142306106348572
R1,placement_rate,40,0.425,0.021845090460054797,0.41801360113352887,0.4319863988664711
R1,ground_truth_fit,40,0.6036232247259639,0.02378694615975346,0.5960157902778809,0.6112306591740468
R1,search_rounds,40,2.168293932652549,0.16133288908244425,2.116697171564691,2.2198906937404073
R1,applications_per_hire,40,6.504881797957647,0.48399866724733265,6.350091514694072,6.659672081221221
R1,fill_rate,40,0.85,0.04369018092010958,0.8360272022670577,0.8639727977329422
R1,vacancy_duration,40,2.944166666666667,0.2758449851645954,2.8559471605401248,3.032386172793209
R1,credential_sensitivity,40,0.17998244316338882,0.018161261807872975,0.1741741898563027,0.18579069647047494
R1,investment_alignment,40,0.07869770145149246,0.009968168007822482,0.07550972666155105,0.08188567624143388
R1,total_gap_reduction,40,0.003396846233070005,0.0003484177081479751,0.003285416844131811,0.003508275622008199
R1,evidence_conversion,40,0.0,0.0,,
R1,task_acceptance,40,0.0,0.0,,
R1,realized_gain,40,0.010443847062934865,0.00042290853313514546,0.010308594352403909,0.01057909977346582
R1,evidence_opportunity_gap,40,0.24666666666666665,0.10828894554152665,0.21203418172612248,0.2812991516072108
R2,placement_rate,40,0.42479166666666657,0.022207861278477545,0.41768924806389585,0.4318940852694373
R2,ground_truth_fit,40,0.6072247538734231,0.02221728685775578,0.6001193208241566,0.6143301869226896
R2,search_rounds,40,2.159405643235238,0.1499268864350139,2.111456698763781,2.207354587706695
R2,applications_per_hire,40,6.478216929705715,0.44978065930504185,6.334370096291344,6.622063763120086
R2,fill_rate,40,0.8495833333333334,0.044415722556955084,0.8353784961277919,0.8637881705388748
R2,vacancy_duration,40,3.013333333333333,0.2907696829915535,2.920340677277687,3.106325989388979
R2,credential_sensitivity,40,0.1631494722452731,0.01862648854821255,0.1571924322084042,0.169106512282142
R2,investment_alignment,40,0.34789254115165574,0.017346043237750502,0.34234500739181273,0.35344007491149876
R2,total_gap_reduction,40,0.01106558295771955,0.0008345692783853669,0.01079867475373821,0.01133249116170089
R2,evidence_conversion,40,0.0,0.0,,
R2,task_acceptance,40,0.5738380570383874,0.021897137074691896,0.5668350128570265,0.5808411012197483
R2,realized_gain,40,0.016814025194428893,0.0007097073455879713,0.01658704977385059,0.017041000615007195
R2,evidence_opportunity_gap,40,0.22333333333333333,0.10995984763161545,0.18816646797950928,0.25850019868715735
R3,placement_rate,40,0.4260416666666667,0.024762943031440103,0.4181220932759458,0.4339612400573876
R3,ground_truth_fit,40,0.6078442559970567,0.020848086927196374,0.6011767143293949,0.6145117976647185
R3,search_rounds,40,2.1922660454760012,0.1438357793203218,2.1462651315663517,2.238266959385651
R3,applications_per_hire,40,6.576798136428005,0.43150733796096535,6.438795394699057,6.714800878156953
R3,fill_rate,40,0.8520833333333334,0.049525886062880185,0.8362441865518916,0.8679224801147752
R3,vacancy_duration,40,2.984166666666667,0.30250497394135395,2.8874208824864516,3.080912450846882
R3,credential_sensitivity,40,0.16111594863272885,0.017285954390595142,0.15558763221851418,0.16664426504694352
R3,investment_alignment,40,0.3436024718848768,0.013933980456580184,0.33914616874228787,0.34805877502746574
R3,total_gap_reduction,40,0.015914622138254557,0.0016641797967997067,0.015382391618668216,0.016446852657840898
R3,evidence_conversion,40,0.07675465190141757,0.013740053695745246,0.0723603695458129,0.08114893425702224
R3,task_acceptance,40,0.27876046030090207,0.022351011029178237,0.2716122601868183,0.28590866041498586
R3,realized_gain,40,0.022503376044768816,0.0013995049417451348,0.022055792650389757,0.022950959439147874
R3,evidence_opportunity_gap,40,0.2291666666666666,0.12430719690460083,0.18941129640914628,0.2689220369241869
