contrast,metric,n,mean_diff,sd_diff,ci_low,ci_high,cohen_dz,p_value,mcse,scenario
R1-R0,placement_rate,10,-0.0416666666666666,0.0218722440944772,-0.057313127528727,-0.0260202058046062,-1.9050019050028584,0.0001965985202016,0.0069166108877715,high_credential_prior
R1-R0,ground_truth_fit,10,0.0311761974843684,0.0161339493480244,0.0196346653976782,0.0427177295710586,1.9323351531524369,0.0001769594374501,0.0051020027593545,high_credential_prior
R1-R0,search_rounds,10,0.274839947065632,0.1667423472225774,0.1555596574622028,0.3941202366690612,1.648291220818426,0.0005548274589713,0.0527285599625995,high_credential_prior
R1-R0,applications_per_hire,10,0.8311865078635627,0.5017676443162009,0.4722435583093363,1.1901294574177892,1.6565167508883267,0.0005359254215084,0.1586728612216435,high_credential_prior
R1-R0,fill_rate,10,-0.0833333333333333,0.0437444881889544,-0.114626255057454,-0.0520404116092125,-1.9050019050028584,0.0001965985202016,0.013833221775543,high_credential_prior
R1-R0,vacancy_duration,10,0.7566666666666668,0.3692000026751201,0.4925568950686318,1.0207764382647018,2.0494763304010606,0.0001139415843459,0.1167512920593638,high_credential_prior
R1-R0,credential_sensitivity,10,-0.0079225067003679,0.0125846328632379,-0.0169250107281905,0.0010799973274547,-0.6295381666247121,0.077699580276407,0.0039796103364838,high_credential_prior
R1-R0,investment_alignment,10,0.0039576048813877,0.0187755490818601,-0.009473613817712,0.0173888235804876,0.2107850409132056,0.5217714776602498,0.0059373499418961,high_credential_prior
R1-R0,total_gap_reduction,10,0.0003229100275317,0.0003075819165477,0.0001028791793776,0.0005429408756858,1.0498342397890783,0.0089422062462065,9.72659423370572e-05,high_credential_prior
R1-R0,evidence_conversion,10,0.0,0.0,,,,,0.0,high_credential_prior
R1-R0,evidence_opportunity_gap,10,0.0466666666666666,0.1415958428628799,-0.0546248973820315,0.1479582307153648,0.3295765308015309,0.3244990571858386,0.0447765370657997,high_credential_prior
R2-R1,placement_rate,10,0.0083333333333333,0.0283278861866265,-0.0119312156818209,0.0285978823484876,0.2941742027072758,0.3765140071654222,0.0089580641647761,high_credential_prior
R2-R1,ground_truth_fit,10,0.0012837474476769,0.0187257880384887,-0.0121118743453987,0.0146793692407527,0.0685550560028983,0.8332063692376146,0.0059216141183161,high_credential_prior
R2-R1,search_rounds,10,-0.0403542179165002,0.2068050608546,-0.1882936463885219,0.1075852105555214,-0.1951316749684012,0.5524834250527014,0.0653975023950263,high_credential_prior
R2-R1,applications_per_hire,10,-0.1210626537495001,0.6204151825638003,-0.5648809391655655,0.322755631666565,-0.1951316749684002,0.5524834250527034,0.1961925071850792,high_credential_prior
R2-R1,fill_rate,10,0.0166666666666666,0.0566557723732531,-0.0238624313636419,0.0571957646969752,0.2941742027072758,0.3765140071654222,0.0179161283295523,high_credential_prior
R2-R1,vacancy_duration,10,-0.0933333333333334,0.3899351006463117,-0.3722761004610387,0.1856094337943719,-0.2393560702245958,0.4684546269281276,0.123308305768934,high_credential_prior
R2-R1,credential_sensitivity,10,-0.0160774802209959,0.0073474107737662,-0.0213335012590128,-0.010821459182979,-2.1881831186572924,6.91397075388828e-05,0.0023234552949961,high_credential_prior
R2-R1,investment_alignment,10,0.2622700127244223,0.0200828752051193,0.2479035892546931,0.2766364361941514,13.059385672902373,1.4263127473880596e-11,0.0063507627613098,high_credential_prior
R2-R1,total_gap_reduction,10,0.0072165602785945,0.0008962439767109,0.0065754259604197,0.0078576945967693,8.052004215501558,1.069644698866745e-09,0.0002834172305613,high_credential_prior
R2-R1,evidence_conversion,10,0.0,0.0,,,,,0.0,high_credential_prior
R2-R1,evidence_opportunity_gap,10,-0.0366666666666666,0.092228915419765,-0.1026432582423798,0.0293099249090465,-0.3975615076875212,0.240325349380153,0.0291653438853481,high_credential_prior
R3-R2,placement_rate,10,-0.0008333333333333,0.0276245775343373,-0.0205947656470436,0.0189280989803769,-0.0301663738494279,0.9260917800890676,0.0087356584408424,high_credential_prior
R3-R2,ground_truth_fit,10,-0.0036477548344111,0.0102959565377014,-0.0110130384472297,0.0037175287784073,-0.3542900381381698,0.2915639951432752,0.0032558673349237,high_credential_prior
R3-R2,search_rounds,10,-0.0406611445899165,0.2449488461567775,-0.2158869932977132,0.1345647041178801,-0.1659985144975604,0.6123135001382091,0.0774596264085598,high_credential_prior
R3-R2,applications_per_hire,10,-0.12198343376975,0.7348465384703328,-0.6476609798931403,0.4036941123536401,-0.165998514497561,0.6123135001382076,0.2323788792256796,high_credential_prior
R3-R2,fill_rate,10,-0.0016666666666666,0.0552491550686747,-0.0411895312940872,0.0378561979607539,-0.0301663738494279,0.9260917800890676,0.0174713168816848,high_credential_prior
R3-R2,vacancy_duration,10,-0.0299999999999999,0.3076995488226769,-0.2501149972143596,0.1901149972143597,-0.0974977055208115,0.7648595044811066,0.097303140928584,high_credential_prior
R3-R2,credential_sensitivity,10,-0.001501901037281,0.0120346706553872,-0.0101109858016947,0.0071071837271327,-0.124797851165848,0.702293557227571,0.0038056970161014,high_credential_prior
R3-R2,investment_alignment,10,-0.0037663884845935,0.0155533639964004,-0.014892594830494,0.0073598178613069,-0.2421590908221026,0.4634197043382156,0.0049184055506284,high_credential_prior
R3-R2,total_gap_reduction,10,0.0047684273013367,0.0016994633888371,0.0035527044296877,0.0059841501729857,2.8058429105668603,9.590526651464871e-06,0.0005374175108793,high_credential_prior
R3-R2,evidence_conversion,10,0.0677630459732085,0.0114382006055873,0.0595806501781238,0.0759454417682932,5.924275007041564,1.61495741919629e-08,0.0036170766247573,high_credential_prior
R3-R2,evidence_opportunity_gap,10,0.0066666666666666,0.0699205898780101,-0.0433515101721104,0.0566848435054437,0.0953462589245589,0.7698749998921373,0.0221108319357026,high_credential_prior
R3-R0,placement_rate,10,-0.0341666666666666,0.0332057744494857,-0.0579206467372105,-0.0104126865961227,-1.0289375035851869,0.0099369997466422,0.0105005878730198,high_credential_prior
R3-R0,ground_truth_fit,10,0.0288121900976342,0.0153036126283826,0.0178646451176208,0.0397597350776476,1.8827051361845184,0.0002143772823061,0.0048394272334605,high_credential_prior
R3-R0,search_rounds,10,0.1938245845592152,0.2016482155243149,0.0495741410072355,0.3380750281111949,0.9612015859165572,0.0140272949341506,0.0637667647165359,high_credential_prior
R3-R0,applications_per_hire,10,0.5881404203443124,0.5977329839022126,0.1605480023834124,1.0157328383052122,0.9839517580320286,0.012488034635044,0.1890197661739752,high_credential_prior
R3-R0,fill_rate,10,-0.0683333333333333,0.0664115488989715,-0.1158412934744211,-0.0208253731922455,-1.0289375035851869,0.0099369997466422,0.0210011757460397,high_credential_prior
R3-R0,vacancy_duration,10,0.6333333333333334,0.3524167006034158,0.3812296127772838,0.885437053889383,1.79711498419038,0.000300728403925,0.1114439459388429,high_credential_prior
R3-R0,credential_sensitivity,10,-0.0255018879586448,0.0130691882093096,-0.0348510219996049,-0.0161527539176848,-1.9512985466441608,0.0001645924884946,0.0041328401910835,high_credential_prior
R3-R0,investment_alignment,10,0.2624612291212165,0.0257230127022974,0.2440600943422569,0.2808623639001761,10.203362730438442,1.2968420557012842e-10,0.0081343308420702,high_credential_prior
R3-R0,total_gap_reduction,10,0.012307897607463,0.001436767873644,0.0112800957867749,0.0133356994281511,8.566378628891744,6.166466570376896e-10,0.0004543458949672,high_credential_prior
R3-R0,evidence_conversion,10,0.0677630459732085,0.0114382006055873,0.0595806501781238,0.0759454417682932,5.924275007041564,1.61495741919629e-08,0.0036170766247573,high_credential_prior
R3-R0,evidence_opportunity_gap,10,0.0166666666666666,0.1335646142241256,-0.0788797025118692,0.1122130358452026,0.1247835496211554,0.7023257702941483,0.042236839574996,high_credential_prior
R1-R0,placement_rate,10,-0.0416666666666666,0.0242161052418926,-0.0589898247871669,-0.0243435085461663,-1.7206180040292132,0.0004104082706725,0.0076578048622723,high_explanation_uptake
R1-R0,ground_truth_fit,10,0.0178840902716226,0.0137442426811313,0.0080520513523385,0.0277161291909066,1.3012059439385963,0.0026182807512285,0.0043463111586474,high_explanation_uptake
