scenario,metric,n,mean_diff,ci_low,ci_high,mcse
baseline_discount,credential_sensitivity,20,-0.010856888048709832,-0.014819764740417093,-0.00689401135700257,0.001893373696953308
baseline_discount,placement_rate,20,-0.04458333333333332,-0.05680410984267669,-0.03236255682398995,0.005838813215550044
baseline_discount,ground_truth_fit,20,0.02925793572339703,0.02180515596002306,0.036710715486770996,0.003560771194997491
no_discount,credential_sensitivity,20,0.008436653577747553,0.004117538946325062,0.012755768209170045,0.00206357620320971
no_discount,placement_rate,20,-0.03708333333333333,-0.05038322728737395,-0.023783439379292712,0.006354391353519564
no_discount,ground_truth_fit,20,0.0233079503091774,0.014919915582959404,0.0316959850353954,0.004007615062307187
half_discount,credential_sensitivity,20,-0.0039141625240941514,-0.007971140036978644,0.00014281498879034106,0.001938332961028194
half_discount,placement_rate,20,-0.0475,-0.05831869460535705,-0.03668130539464295,0.005168929894795434
half_discount,ground_truth_fit,20,0.030188560273800586,0.023410182566775118,0.03696693798082605,0.0032385570021275715
strong_discount,credential_sensitivity,20,-0.01524871708487345,-0.019073436113715963,-0.01142399805603094,0.0018273650609924533
strong_discount,placement_rate,20,-0.04208333333333333,-0.05240014128162188,-0.03176652538504477,0.004929139694577033
strong_discount,ground_truth_fit,20,0.02677381456559817,0.020721328989317847,0.03282630014187849,0.0028917420053212626
