metric,n,mean_diff,ci_low,ci_high,mcse,scenario,evidence_channel,learning_channel,credential_resource_channel
evidence_opportunity_gap,10,-0.013333333333333336,-0.11336968701088748,0.08670302034422081,0.044221663871405324,E0_L0_C0,0,0,0
resource_q1_placement,10,-0.04666666666666667,-0.12470693996816723,0.031373606634833885,0.03449816599168893,E0_L0_C0,0,0,0
resource_q4_placement,10,-0.06000000000000001,-0.09861324193786211,-0.021386758062137905,0.017069212773041353,E0_L0_C0,0,0,0
placement_rate,10,-0.04499999999999999,-0.0621398391185444,-0.02786016088145558,0.007576767609436589,E0_L0_C0,0,0,0
ground_truth_fit,10,0.03344338525721717,0.02397496422306916,0.04291180629136518,0.004185571714405521,E0_L0_C0,0,0,0
credential_sensitivity,10,-0.014675011820991726,-0.01901515348424175,-0.0103348701577417,0.0019185853815220477,E0_L0_C0,0,0,0
total_gap_reduction,10,0.00023000874417486032,-0.00014787304831016666,0.0006078905366598874,0.00016704488914360006,E0_L0_C0,0,0,0
evidence_opportunity_gap,10,-0.05333333333333332,-0.12371155617594412,0.017044889509277482,0.031111111111111103,E0_L0_C1,0,0,1
resource_q1_placement,10,-0.036666666666666674,-0.08085010448906377,0.007516771155730427,0.01953155092360772,E0_L0_C1,0,0,1
resource_q4_placement,10,-0.09,-0.13060696380436043,-0.04939303619563957,0.017950549357115007,E0_L0_C1,0,0,1
placement_rate,10,-0.03833333333333332,-0.05032200220755188,-0.02634466445911476,0.005299662230094138,E0_L0_C1,0,0,1
ground_truth_fit,10,0.031069225852187486,0.02562832603547854,0.036510125668896436,0.0024051820563955667,E0_L0_C1,0,0,1
credential_sensitivity,10,-0.014458387040708027,-0.020083731895399803,-0.008833042186016249,0.0024867170801401942,E0_L0_C1,0,0,1
total_gap_reduction,10,0.00023873009809412642,3.9558644535407606e-05,0.00043790155165284524,8.804492315306293e-05,E0_L0_C1,0,0,1
evidence_opportunity_gap,10,-0.01666666666666667,-0.1154638371171818,0.08213050378384848,0.04367387557118564,E0_L1_C0,0,1,0
resource_q1_placement,10,-0.04,-0.11689855677281158,0.03689855677281157,0.033993463423951896,E0_L1_C0,0,1,0
resource_q4_placement,10,-0.056666666666666664,-0.0972736304710271,-0.016059702862306215,0.017950549357115018,E0_L1_C0,0,1,0
placement_rate,10,-0.042499999999999996,-0.062060599537501815,-0.02293940046249818,0.00864687912015188,E0_L1_C0,0,1,0
ground_truth_fit,10,0.031738674404251745,0.02052893814711554,0.04294841066138795,0.004955330443650599,E0_L1_C0,0,1,0
credential_sensitivity,10,-0.014688489159513976,-0.019031956713116308,-0.010345021605911643,0.0019200556110918587,E0_L1_C0,0,1,0
total_gap_reduction,10,0.00024727633463997474,-0.00014479937411097222,0.0006393520433909216,0.00017331939407161427,E0_L1_C0,0,1,0
evidence_opportunity_gap,10,-0.05666666666666664,-0.12955839746794212,0.016225064134608835,0.032222222222222215,E0_L1_C1,0,1,1
resource_q1_placement,10,-0.03000000000000001,-0.07695620372364505,0.016956203723645025,0.020757268546966006,E0_L1_C1,0,1,1
resource_q4_placement,10,-0.08666666666666664,-0.12592891610576573,-0.04740441722756755,0.01735611039090367,E0_L1_C1,0,1,1
placement_rate,10,-0.03416666666666666,-0.04889001020632882,-0.019443323127004496,0.006508541396588877,E0_L1_C1,0,1,1
ground_truth_fit,10,0.03027508499960325,0.024308892778720823,0.03624127722048568,0.002637390681336424,E0_L1_C1,0,1,1
credential_sensitivity,10,-0.014442656204146124,-0.020083652800586268,-0.00880165960770598,0.0024936360254750995,E0_L1_C1,0,1,1
