scenario,metric,n,mean_diff,ci_low,ci_high,mcse
E0_L0_C0,q1_delta,10,-0.046666666666666676,-0.12470693996816724,0.03137360663483389,0.03449816599168894
E0_L0_C0,q4_delta,10,-0.06000000000000001,-0.09861324193786211,-0.021386758062137905,0.017069212773041353
E0_L0_C0,gap_delta,10,-0.013333333333333353,-0.11336968701088748,0.08670302034422078,0.04422166387140532
E0_L0_C1,q1_delta,10,-0.036666666666666674,-0.08085010448906377,0.007516771155730427,0.01953155092360772
E0_L0_C1,q4_delta,10,-0.09,-0.13060696380436043,-0.04939303619563957,0.017950549357115007
E0_L0_C1,gap_delta,10,-0.053333333333333274,-0.12371155617594408,0.01704488950927753,0.031111111111111103
E0_L1_C0,q1_delta,10,-0.04,-0.11689855677281158,0.03689855677281157,0.033993463423951896
E0_L1_C0,q4_delta,10,-0.056666666666666685,-0.09727363047102713,-0.016059702862306242,0.017950549357115014
E0_L1_C0,gap_delta,10,-0.016666666666666684,-0.11546383711718183,0.08213050378384845,0.04367387557118564
E0_L1_C1,q1_delta,10,-0.030000000000000006,-0.07695620372364503,0.01695620372364503,0.020757268546966006
E0_L1_C1,q4_delta,10,-0.08666666666666664,-0.12592891610576573,-0.04740441722756754,0.017356110390903675
E0_L1_C1,gap_delta,10,-0.05666666666666662,-0.1295583974679421,0.016225064134608856,0.032222222222222215
E1_L0_C0,q1_delta,10,-0.10000000000000002,-0.1463467967373369,-0.05365320326266316,0.020487876571761966
E1_L0_C0,q4_delta,10,0.013333333333333313,-0.0408092850724806,0.06747595173914722,0.023934065809486683
E1_L0_C0,gap_delta,10,0.11333333333333331,0.024680941999039988,0.20198572466762665,0.03918931575232978
E1_L0_C1,q1_delta,10,-0.09333333333333335,-0.13940669525515254,-0.04725997141151418,0.020367003088692617
E1_L0_C1,q4_delta,10,-0.009999999999999981,-0.08289173080127547,0.06289173080127551,0.03222222222222222
E1_L0_C1,gap_delta,10,0.08333333333333331,-0.023453785160324467,0.1901204518269911,0.04720587952499554
E1_L1_C0,q1_delta,10,-0.10000000000000002,-0.1463467967373369,-0.05365320326266316,0.020487876571761966
E1_L1_C0,q4_delta,10,0.013333333333333313,-0.0408092850724806,0.06747595173914722,0.023934065809486683
E1_L1_C0,gap_delta,10,0.11333333333333331,0.024680941999039988,0.20198572466762665,0.03918931575232978
E1_L1_C1,q1_delta,10,-0.09333333333333335,-0.13940669525515254,-0.04725997141151418,0.020367003088692617
E1_L1_C1,q4_delta,10,-0.009999999999999981,-0.08289173080127547,0.06289173080127551,0.03222222222222222
E1_L1_C1,gap_delta,10,0.08333333333333331,-0.023453785160324467,0.1901204518269911,0.04720587952499554
