scenario,metric,n,mean_diff,ci_low,ci_high,mcse
baseline,placement_rate,20,-0.04458333333333332,-0.05680410984267669,-0.03236255682398995,0.005838813215550044
baseline,ground_truth_fit,20,0.02925793572339703,0.02180515596002306,0.036710715486770996,0.003560771194997491
baseline,aggregate_fit_per_capacity,20,-0.026149084395316085,-0.0367763704157725,-0.015521798374859664,0.005077479161347107
higher_hiring_threshold,placement_rate,20,-0.06333333333333332,-0.07783820382977577,-0.04882846283689088,0.006930102148559839
higher_hiring_threshold,ground_truth_fit,20,0.03410076262459001,0.027294326322240416,0.04090719892693961,0.0032519627703341204
higher_hiring_threshold,aggregate_fit_per_capacity,20,-0.0469628219057638,-0.061162195999830325,-0.03276344781169727,0.0067841428120044445
higher_proxy_noise,placement_rate,20,-0.02666666666666666,-0.036270119655683074,-0.01706321367765025,0.004588314677411235
higher_proxy_noise,ground_truth_fit,20,0.01836689247151475,0.00749834897464015,0.029235435968389352,0.005192746578322103
higher_proxy_noise,aggregate_fit_per_capacity,20,-0.012964978751882798,-0.0237876973170004,-0.0021422601867651936,0.005170852452614144
lower_hiring_threshold,placement_rate,20,-0.03416666666666666,-0.043959978521188846,-0.02437335481214447,0.004679024989653416
lower_hiring_threshold,ground_truth_fit,20,0.025152498507569305,0.018518666957638385,0.03178633005750022,0.0031694960867548567
lower_hiring_threshold,aggregate_fit_per_capacity,20,-0.016157761681371195,-0.02494059271964493,-0.007374930643097461,0.004196239894986115
lower_proxy_noise,placement_rate,20,-0.052916666666666654,-0.06473785405505082,-0.04109547927828249,0.005647898486157617
lower_proxy_noise,ground_truth_fit,20,0.029447215767199615,0.023310772036820058,0.035583659497579176,0.002931855330307855
lower_proxy_noise,aggregate_fit_per_capacity,20,-0.037600606971509035,-0.04907210526504728,-0.02612910867797079,0.005480824871256055
