test,contrast,metric,n,estimate,ci_low,ci_high,mcse
H1 fit,R1-R0,ground_truth_fit,10,0.029726042816281904,0.014881263150153892,0.044570822482409914,0.006562222957031671
H1 fit,R1-R0,ground_truth_fit,20,0.02925793572339703,0.02180515596002306,0.036710715486770996,0.003560771194997491
H1 fit,R1-R0,ground_truth_fit,30,0.029932832268037536,0.024323588187762007,0.035542076348313065,0.0027425986621367267
H1 fit,R1-R0,ground_truth_fit,40,0.029286179528137744,0.02475911775516939,0.0338132413011061,0.0022381381792558205
H1 placement,R1-R0,placement_rate,10,-0.04333333333333333,-0.06595490496131537,-0.02071176170535129,0.009999999999999995
H1 placement,R1-R0,placement_rate,20,-0.04458333333333333,-0.056804109842676684,-0.032362556823989974,0.00583881321555004
H1 placement,R1-R0,placement_rate,30,-0.04388888888888887,-0.053994609357876436,-0.03378316841990131,0.00494111774091521
H1 placement,R1-R0,placement_rate,40,-0.04229166666666666,-0.050146584684544505,-0.03443674864878881,0.0038834000489482057
H1 search,R1-R0,search_rounds,10,0.1479860867014781,0.029358156090918144,0.26661401731203804,0.05244018079796966
H1 search,R1-R0,search_rounds,20,0.19259708294583877,0.10417976431060928,0.2810144015810683,0.04224381389645557
H1 search,R1-R0,search_rounds,30,0.20687105626506402,0.13113941601019752,0.28260269651993053,0.037028428834962455
H1 search,R1-R0,search_rounds,40,0.20155110879670515,0.14091574414205163,0.26218647345135865,0.029977572971727935
H3 alignment,R2-R1,investment_alignment,10,0.27171070983337725,0.2631343750977308,0.2802870445690237,0.003791219671509399
H3 alignment,R2-R1,investment_alignment,20,0.2707365979343326,0.2628973006075362,0.27857589526112897,0.0037454406270608018
H3 alignment,R2-R1,investment_alignment,30,0.2679269116988202,0.26133877218794793,0.2745150512096925,0.003221222387527279
H3 alignment,R2-R1,investment_alignment,40,0.2691948397001632,0.2629982191739331,0.2753914602263933,0.003063552846777734
H3 gap,R2-R1,total_gap_reduction,10,0.0076960890687962896,0.007080574497974571,0.008311603639618007,0.00027209186918752764
H3 gap,R2-R1,total_gap_reduction,20,0.0076662915310963505,0.007201662804850719,0.008130920257341981,0.0002219891956172381
H3 gap,R2-R1,total_gap_reduction,30,0.00767136180534778,0.007337251491873266,0.008005472118822294,0.0001633607818856538
H3 gap,R2-R1,total_gap_reduction,40,0.007668736724649546,0.007392548665297646,0.007944924784001446,0.00013654486536523352
H4 gap,R3-R2,total_gap_reduction,10,0.00520479931070735,0.004004297475292384,0.006405301146122316,0.0005306889614733882
H4 gap,R3-R2,total_gap_reduction,20,0.004710122744529295,0.00370550276075761,0.0057147427283009795,0.00047998492021903105
H4 gap,R3-R2,total_gap_reduction,30,0.004765094585099106,0.004082581138146153,0.005447608032052059,0.0003337099330524315
H4 gap,R3-R2,total_gap_reduction,40,0.004849039180535007,0.004307081610460056,0.005390996750609959,0.0002679388950166949
H4 evidence,R3-R2,evidence_conversion,10,0.08438130975035124,0.07714921031786649,0.09161340918283599,0.0031969924775424995
H4 evidence,R3-R2,evidence_conversion,20,0.07656604726860651,0.06840723538883846,0.08472485914837456,0.0038980975219009262
H4 evidence,R3-R2,evidence_conversion,30,0.07573155026929013,0.07022404958152981,0.08123905095705045,0.0026928519782342224
H4 evidence,R3-R2,evidence_conversion,40,0.07675465190141757,0.0723603695458129,0.08114893425702224,0.0021724932425784584
H4 placement,R3-R2,placement_rate,10,-0.002500000000000008,-0.018409234675872004,0.013409234675871988,0.007032771611762314
H4 placement,R3-R2,placement_rate,20,0.003333333333333319,-0.009218689547797209,0.015885356214463846,0.005997075310574462
H4 placement,R3-R2,placement_rate,30,0.0027777777777777696,-0.00703969090920421,0.012595246464759749,0.004800179150906802
H4 placement,R3-R2,placement_rate,40,0.001249999999999997,-0.006562197130270353,0.009062197130270348,0.0038622792305452033
