contrast,metric,n_seed_target,n,mean_diff,ci_low,ci_high,mcse
R2-R2_random,investment_alignment,5,5,0.26179507565747534,0.23286789909981503,0.29072225221513565,0.010418782097836417
R2-R2_random,total_gap_reduction,5,5,0.00137853515227368,0.0004969984459794797,0.00226007185856788,0.00031750554140035835
R2-R2_random,placement_rate,5,5,0.009999999999999976,-0.017764451051977916,0.037764451051977864,0.009999999999999985
R2-R2_random,ground_truth_fit,5,5,-0.003492097443606612,-0.022473976755442996,0.01548978186822977,0.00683675656914676
R2-R2_random,investment_alignment,10,10,0.25955709637541113,0.24474052843744032,0.27437366431338195,0.0065497517951596616
R2-R2_random,total_gap_reduction,10,10,0.0018283555959185797,0.0012779621426795994,0.0023787490491575603,0.00024330469265811927
R2-R2_random,placement_rate,10,10,0.014166666666666643,-0.003617623326320818,0.031950956659654105,0.0078616509433805
R2-R2_random,ground_truth_fit,10,10,-0.005928911314914231,-0.013759392552424112,0.0019015699225956488,0.003461510705924545
R2-R2_random,investment_alignment,15,15,0.2579331056322852,0.24727456264081876,0.2685916486237517,0.004969511910675812
R2-R2_random,total_gap_reduction,15,15,0.002085640908600907,0.0015682230075256326,0.0026030588096761812,0.0002412444575444435
R2-R2_random,placement_rate,15,15,0.005555555555555558,-0.009415200004760161,0.020526311115871276,0.0069800673627126945
R2-R2_random,ground_truth_fit,15,15,-0.0026156480675048497,-0.008353577108220975,0.003122280973211276,0.0026752912413339374
R2-R2_random,investment_alignment,20,20,0.25490492732554715,0.24648908282373647,0.2633207718273578,0.004020901950020734
R2-R2_random,total_gap_reduction,20,20,0.00204217457526,0.0016009829614819586,0.0024833661890380416,0.0002107914683774454
R2-R2_random,placement_rate,20,20,0.0008333333333333359,-0.0119399711576786,0.01360663782434527,0.006102798706067861
R2-R2_random,ground_truth_fit,20,20,-0.0003798975623796719,-0.005386161177181551,0.004626366052422207,0.0023918805922262245
R3-R3_random,investment_alignment,5,5,0.24233683047942978,0.21713823702923585,0.2675354239296237,0.00907584789017422
R3-R3_random,total_gap_reduction,5,5,0.00308482616001382,0.002470037837891079,0.003699614482136561,0.00022143002970661786
R3-R3_random,evidence_conversion,5,5,0.01885649366818208,0.0032015993357964803,0.03451138800056768,0.0056384670826295155
R3-R3_random,placement_rate,5,5,0.003333333333333288,-0.016837072726408955,0.023503739393075533,0.0072648315725677955
R3-R3_random,ground_truth_fit,5,5,0.0017975826743317435,-0.006097724405618945,0.009692889754282433,0.0028436748362752986
R3-R3_random,investment_alignment,10,10,0.24294346555629026,0.2331570530814002,0.25272987803118035,0.004326141718104434
R3-R3_random,total_gap_reduction,10,10,0.00308856015681849,0.0023083146677483368,0.003868805645888643,0.0003449121492978048
R3-R3_random,evidence_conversion,10,10,0.02741215210070001,0.018484802494613102,0.03633950170678692,0.003946387878304664
R3-R3_random,placement_rate,10,10,0.007499999999999979,-0.00200906934570883,0.01700906934570879,0.004203540541783773
R3-R3_random,ground_truth_fit,10,10,-0.00020913353665578117,-0.007429879722314376,0.0070116126490028146,0.0031919737074000637
R3-R3_random,investment_alignment,15,15,0.2417038541114452,0.23230123509223316,0.25110647313065726,0.0043839413365346315
R3-R3_random,total_gap_reduction,15,15,0.00294175156304764,0.0021528439182872893,0.0037306592078079908,0.0003678256906407023
R3-R3_random,evidence_conversion,15,15,0.02269239264917128,0.01515345777794605,0.030231327520396513,0.003515004505433666
R3-R3_random,placement_rate,15,15,0.004444444444444429,-0.005706219185410436,0.014595108074299295,0.004732714766944635
R3-R3_random,ground_truth_fit,15,15,-0.0009410658007549625,-0.00693901568666416,0.0050568840851542346,0.0027965251368340556
R3-R3_random,investment_alignment,20,20,0.24281258270002368,0.23368938828111813,0.2519357771189292,0.0043588578925743155
R3-R3_random,total_gap_reduction,20,20,0.0031702278076799046,0.002380015074903445,0.0039604405404563645,0.0003775459393847484
R3-R3_random,evidence_conversion,20,20,0.023207972459882865,0.015949117581605547,0.030466827338160182,0.0034681182296920016
R3-R3_random,placement_rate,20,20,0.005833333333333327,-0.001977163504074936,0.01364383017074159,0.0037316803984922503
R3-R3_random,ground_truth_fit,20,20,-0.0014341238714113192,-0.006346616497993363,0.003478368755170724,0.0023470789149486336
