regime,metric,n,mean,ci_low,ci_high,mcse
R0,q1_placement,40,0.3775,0.3598607237804753,0.3951392762195247,0.00872069778174716
R0,q4_placement,40,0.5591666666666667,0.5349665761904832,0.5833667571428502,0.011964304697498589
R0,gap,40,0.18166666666666664,0.14910272269847605,0.21423061063485724,0.016099317817473948
R1,q1_placement,40,0.30083333333333334,0.2774913506815071,0.3241753159851596,0.011540063991290381
R1,q4_placement,40,0.5475,0.5234933440970795,0.5715066559029205,0.011868672403238053
R1,gap,40,0.24666666666666667,0.2120341817261225,0.2812991516072108,0.017121985666457996
R2,q1_placement,40,0.31166666666666665,0.28794544194010097,0.33538789139323233,0.011727557824867568
R2,q4_placement,40,0.5349999999999999,0.5136858003941583,0.5563141996058415,0.01053754649052074
R2,gap,40,0.22333333333333333,0.18816646797950928,0.25850019868715735,0.01738617848404882
R3,q1_placement,40,0.3025,0.278676115357894,0.326323884642106,0.01177831195369831
R3,q4_placement,40,0.5316666666666666,0.5057836163481275,0.5575497169852057,0.012796344741622065
R3,gap,40,0.22916666666666669,0.1894112964091464,0.268922036924187,0.01965469358847855
